# QW(phi_delta, phi_delta)/||phi_delta||^2 split by term, floating point (autocorrelation on a grid);
# certified check points from lane A2 (entry(1, delta)) at delta = 0.02, 0.05, 0.1, 0.15, 0.2
delta,pole,archimedean,prime,total
0.69,2.082869693,-1.828616038,-0.2518176967,0.002435957852
0.695,2.098535723,-1.83749291,-0.2584434062,0.002599406432
0.7,2.114214295,-1.846316011,-0.265155259,0.002743025708
0.705,2.129905506,-1.85508607,-0.2719542541,0.002865181851
0.71,2.145609449,-1.863803801,-0.2788408382,0.002964809037
0.715,2.16132622,-1.872469905,-0.2858149577,0.003041356984
0.72,2.177055915,-1.881085066,-0.292876092,0.003094757052
0.725,2.19279863,-1.889649954,-0.3000232734,0.003125402268
0.73,2.208554459,-1.898165226,-0.3072551631,0.003134070872
0.735,2.2243235,-1.906631523,-0.3145700942,0.003121882562
0.74,2.240105847,-1.915049477,-0.3219660885,0.003090281835
0.745,2.255901597,-1.923419703,-0.3294409183,0.003040975609
0.75,2.271710846,-1.931742807,-0.3369921817,0.002975857392
0.755,2.28753369,-1.94001938,-0.3446173813,0.002896928555
0.76,2.303370226,-1.948250003,-0.3523139599,0.002806262255
0.765,2.319220549,-1.956435246,-0.3600794536,0.002705849915
0.77,2.335084758,-1.964575665,-0.3679114626,0.002597630073
0.775,2.350962948,-1.972671808,-0.3758078211,0.002483318409
0.78,2.366855216,-1.980724211,-0.3837665079,0.002364496543
0.785,2.382761659,-1.9887334,-0.391785765,0.002242493775
0.79,2.398682374,-1.996699891,-0.3998640676,0.002118415896
0.795,2.414617459,-2.004624189,-0.4080000317,0.0019932382
0.8,2.430567011,-2.012506792,-0.4161924985,0.001867720436
