# minimal even eigenvector as a function on the centred window log u in [-L/2, L/2], unit L^2(d*u) norm;
# recomputed (multiprecision midpoint inverse iteration on zst's even block); Rayleigh quotient = certified eps
x,N,log_u,xi(u)
25,150,-1.512871638,9.498580505e-17
25,150,-1.496777259,-1.489909103e-16
25,150,-1.480682879,-9.112457078e-17
25,150,-1.4645885,-8.817070314e-17
25,150,-1.448494121,-1.125632311e-16
25,150,-1.432399742,1.53636904e-17
25,150,-1.416305363,1.510194111e-17
25,150,-1.400210984,4.306218752e-16
25,150,-1.384116605,-2.048897756e-16
25,150,-1.368022226,-2.236197143e-16
25,150,-1.351927846,5.019182374e-17
25,150,-1.335833467,1.405542946e-17
25,150,-1.319739088,-1.280219133e-16
25,150,-1.303644709,1.035680167e-16
25,150,-1.28755033,2.389362756e-16
25,150,-1.271455951,1.650742066e-16
25,150,-1.255361572,1.123831015e-15
25,150,-1.239267193,5.350267287e-15
25,150,-1.223172813,2.448798499e-14
25,150,-1.207078434,1.034372209e-13
25,150,-1.190984055,4.113119312e-13
25,150,-1.174889676,1.537668909e-12
25,150,-1.158795297,5.416971429e-12
25,150,-1.142700918,1.804048153e-11
25,150,-1.126606539,5.696773401e-11
25,150,-1.11051216,1.710549704e-10
25,150,-1.09441778,4.896734145e-10
25,150,-1.078323401,1.339665227e-09
25,150,-1.062229022,3.510641423e-09
25,150,-1.046134643,8.830639186e-09
25,150,-1.030040264,2.136327099e-08
25,150,-1.013945885,4.979809774e-08
25,150,-0.9978515057,1.120408355e-07
25,150,-0.9817571266,2.437034729e-07
25,150,-0.9656627475,5.132511215e-07
25,150,-0.9495683683,1.048100948e-06
25,150,-0.9334739892,2.078106382e-06
25,150,-0.9173796101,4.005689511e-06
25,150,-0.901285231,7.515440431e-06
25,150,-0.8851908518,1.374021946e-05
25,150,-0.8690964727,2.450547099e-05
25,150,-0.8530020936,4.267820361e-05
25,150,-0.8369077145,7.265132976e-05
25,150,-0.8208133353,0.0001209970198
25,150,-0.8047189562,0.000197323488
25,150,-0.7886245771,0.0003153672027
25,150,-0.772530198,0.0004943459528
25,150,-0.7564358188,0.0007605867584
25,150,-0.7403414397,0.001149425872
25,150,-0.7242470606,0.001707356175
25,150,-0.7081526815,0.002494370799
25,150,-0.6920583023,0.003586422177
25,150,-0.6759639232,0.005077884868
25,150,-0.6598695441,0.007083880994
25,150,-0.643775165,0.009742301704
25,150,-0.6276807858,0.01321533982
25,150,-0.6115864067,0.01769034027
25,150,-0.5954920276,0.02337977851
25,150,-0.5793976485,0.03052019402
25,150,-0.5633032694,0.03936993702
25,150,-0.5472088902,0.05020563056
25,150,-0.5311145111,0.06331730587
25,150,-0.515020132,0.07900223322
25,150,-0.4989257529,0.09755753954
25,150,-0.4828313737,0.1192717743
25,150,-0.4667369946,0.1444156514
25,150,-0.4506426155,0.1732322529
25,150,-0.4345482364,0.2059270264
25,150,-0.4184538572,0.2426579407
25,150,-0.4023594781,0.2835261752
25,150,-0.386265099,0.3285677171
25,150,-0.3701707199,0.3777462169
25,150,-0.3540763407,0.4309474121
25,150,-0.3379819616,0.4879753772
25,150,-0.3218875825,0.5485507892
25,150,-0.3057932034,0.6123113274
25,150,-0.2896988242,0.6788142461
25,150,-0.2736044451,0.7475410804
25,150,-0.257510066,0.8179043742
25,150,-0.2414156869,0.8892562482
25,150,-0.2253213077,0.9608985724
25,150,-0.2092269286,1.03209446
25,150,-0.1931325495,1.10208077
25,150,-0.1770381704,1.170081286
25,150,-0.1609437912,1.235320243
25,150,-0.1448494121,1.297035861
25,150,-0.128755033,1.3544936
25,150,-0.1126606539,1.406998842
25,150,-0.09656627475,1.453908765
25,150,-0.08047189562,1.494643196
25,150,-0.0643775165,1.528694288
25,150,-0.04828313737,1.555634873
25,150,-0.03218875825,1.575125402
25,150,-0.01609437912,1.586919412
25,150,-2.220446049e-16,1.590867442
25,150,0.01609437912,1.586919412
25,150,0.03218875825,1.575125402
25,150,0.04828313737,1.555634873
25,150,0.0643775165,1.528694288
25,150,0.08047189562,1.494643196
25,150,0.09656627475,1.453908765
25,150,0.1126606539,1.406998842
25,150,0.128755033,1.3544936
25,150,0.1448494121,1.297035861
25,150,0.1609437912,1.235320243
25,150,0.1770381704,1.170081286
25,150,0.1931325495,1.10208077
25,150,0.2092269286,1.03209446
25,150,0.2253213077,0.9608985724
25,150,0.2414156869,0.8892562482
25,150,0.257510066,0.8179043742
25,150,0.2736044451,0.7475410804
25,150,0.2896988242,0.6788142461
25,150,0.3057932034,0.6123113274
25,150,0.3218875825,0.5485507892
25,150,0.3379819616,0.4879753772
25,150,0.3540763407,0.4309474121
25,150,0.3701707199,0.3777462169
25,150,0.386265099,0.3285677171
25,150,0.4023594781,0.2835261752
25,150,0.4184538572,0.2426579407
25,150,0.4345482364,0.2059270264
25,150,0.4506426155,0.1732322529
25,150,0.4667369946,0.1444156514
25,150,0.4828313737,0.1192717743
25,150,0.4989257529,0.09755753954
25,150,0.515020132,0.07900223322
25,150,0.5311145111,0.06331730587
25,150,0.5472088902,0.05020563056
25,150,0.5633032694,0.03936993702
25,150,0.5793976485,0.03052019402
25,150,0.5954920276,0.02337977851
25,150,0.6115864067,0.01769034027
25,150,0.6276807858,0.01321533982
25,150,0.643775165,0.009742301704
25,150,0.6598695441,0.007083880994
25,150,0.6759639232,0.005077884868
25,150,0.6920583023,0.003586422177
