# rtp2_ellcurve; author codex:gpt-6-astra; FLINT 3.0.1; certified forms/eigenpairs; PARI comparisons approximate
# curve=11a1 C=11 rank=0 root_number=1; gamma (Q,d,mu)=(1/(2pi),1,1); no poles
# CONTROL_SPECTRUM object=11a1 x=13 N=60 prec=384; gamma includes conductor shift; no atoms
SPECTRUM object=11a1 block=O index=4 eigenvalue=[3.16625572240 +/- 3.93e-12] lower_count=3 upper_count=4 certified=1
SPECTRUM object=11a1 block=O index=5 eigenvalue=[3.63748934347 +/- 5.74e-12] lower_count=4 upper_count=5 certified=1
SPECTRUM object=11a1 block=O index=6 eigenvalue=[4.01877018839 +/- 7.68e-12] lower_count=5 upper_count=6 certified=1
SPECTRUM object=11a1 block=O index=7 eigenvalue=[4.33894533735 +/- 7.18e-12] lower_count=6 upper_count=7 certified=1
SPECTRUM object=11a1 block=O index=8 eigenvalue=[4.61490095319 +/- 4.86e-12] lower_count=7 upper_count=8 certified=1
SPECTRUM object=11a1 block=O index=9 eigenvalue=[4.85737221547 +/- 3.98e-12] lower_count=8 upper_count=9 certified=1
SPECTRUM object=11a1 block=O index=10 eigenvalue=[5.07360758097 +/- 3.72e-12] lower_count=9 upper_count=10 certified=1
SPECTRUM object=11a1 block=O index=11 eigenvalue=[5.26873140200 +/- 5.84e-12] lower_count=10 upper_count=11 certified=1
SPECTRUM object=11a1 block=O index=12 eigenvalue=[5.44650010009 +/- 4.14e-12] lower_count=11 upper_count=12 certified=1
SPECTRUM object=11a1 block=O index=13 eigenvalue=[5.60974931968 +/- 6.10e-12] lower_count=12 upper_count=13 certified=1
SPECTRUM object=11a1 block=O index=14 eigenvalue=[5.76067216191 +/- 6.09e-12] lower_count=13 upper_count=14 certified=1
SPECTRUM object=11a1 block=O index=15 eigenvalue=[5.90099969859 +/- 4.52e-12] lower_count=14 upper_count=15 certified=1
SPECTRUM object=11a1 block=O index=16 eigenvalue=[6.03212225061 +/- 5.93e-12] lower_count=15 upper_count=16 certified=1
