# rtp1_a1 axisN (lane A1.2): the resolution axis at fixed window
# author claude:opus; driver zst/tools/rtp1_a1.c on libzst (FLINT 3.0.1)
# fixed: x = lambda^2 = 50, window L = log x = 3.91202300542815, prime powers k <= 50 enter, prec = 4200 bits
# varied: N = 1..520 (window matrix on |n| <= N is the leading block of the one on |n| <= N+1)
# reference: benchmark saturation N ~ 7.5 x = 375.0
# cross-lane reference (Conventions): zst (a_n, b_n) at x = 13, prime powers <= 13
#   n = 0  a_n = 0.0453328442159587070934518363426  b_n = 0
#   n = 1  a_n = 0.0465118895436779793116060710601  b_n = 0.0457203442394000540357853654912
#   n = 2  a_n = 0.0506210483629745920069696920272  b_n = 0.0939818448885741857990582354453
#   n = 3  a_n = 0.0603025794859511884689695760125  b_n = 0.148752677000255263998143181043
# ball LDL^T of even block (size 522): all pivots certified positive; odd block (size 521): all pivots certified positive
#   (so the window form is certified positive definite on |n| <= N for every N <= 521)
#   worst relative accuracy of the pivots: 247 bits (of 4200; error control of every column below)
#
# Columns (row N = the bordering |n| <= N -> |n| <= N+1, new modes +-(N+1)):
#   s_e, s_o   Schur complements of the new even / odd basis vector (LDL pivots)
#   dI         Delta I_N = log(d_e/s_e) + log(d_o/s_o), d = new diagonal entries (nats)
#   dI_e       even part of dI
#   logdet     log det of the window matrix on |n| <= N (size 2N+1)
#   r_e, r_o   half-widths of the admissible interval of b_{N+1} given a_{N+1} and |n| <= N (Loewner-structured)
#   r_j        half-width of the intersection of the two intervals; tau_j = truth position in it (-1..1)
#   dIs        log-det gain of the truth over the structured MaxEnt point (joint maximiser)
#   b          b_{N+1} (for scale)
    N          s_e          s_o           dI         dI_e         logdet         r_e         r_o         r_j     tau_j         dIs            b
   73   3.1612e-27   1.0407e-26      123.788      62.4904     -8304.7051   2.444e-22   8.870e-22   2.444e-22     -1.00       28.06     0.225556
   74   4.2493e-29   1.4161e-28      130.316      65.7696     -8425.5514   9.537e-25   2.973e-24   9.537e-25      1.00       23.09      1.10313
   75   8.4292e-28   2.1058e-27      126.334      63.6257     -8555.0041   5.824e-24   1.834e-23   5.824e-24      1.00       20.44     0.247052
   76   4.0255e-27   1.2129e-26      123.554      62.3287     -8678.7698   2.986e-23   6.986e-23   2.986e-23      1.00       20.45    0.0931110
   77   1.1011e-28   4.8750e-28      127.879      64.6795     -8799.2212   2.715e-24   7.630e-24   2.715e-24      1.00       21.72    -0.417591
   78   1.5859e-28   5.1798e-28      128.823      65.0072     -8926.4855   5.793e-24   2.448e-23   5.793e-24      1.00       24.47     0.844829
   79   3.1707e-28   1.0464e-27      126.686      63.9392     -9053.3243   6.106e-24   1.897e-23   6.106e-24      1.00       22.36    -0.113423
   80   3.3436e-27   8.3706e-27      123.729      62.3216     -9178.7672   2.263e-23   7.064e-23   2.263e-23      1.00       19.64    -0.584488
   81   1.9893e-27   6.7327e-27      123.730      62.4693     -9299.7751   1.450e-23   3.416e-23   1.450e-23      1.00       18.99     -1.17821
   82   2.5344e-26   8.4059e-26      119.501      60.3501     -9421.5199   1.230e-21   3.947e-21   1.230e-21      1.00       26.23    0.0894292
   83   2.0332e-26   6.5975e-26      119.921      60.5474     -9538.1954   6.160e-22   1.952e-21   6.160e-22     -1.00       23.77    -0.597561
   84   4.1265e-28   1.1100e-27      121.523      61.2498     -9655.3336   4.178e-24   1.291e-23   4.178e-24      1.00       21.26   -0.0889055
   85   1.1885e-23   3.7643e-23      107.213      54.1829     -9780.4540   6.358e-18   1.622e-17   6.358e-18     -1.00       35.80    0.0250388
   86   3.2691e-22   1.1053e-21      100.548      50.8838     -9884.8747   5.967e-16   1.806e-15   5.967e-16      1.00       40.45     0.202151
   87   7.6274e-26   2.1759e-25      117.298      59.1725     -9982.6012   8.469e-22   2.754e-21   8.469e-22     -1.00       20.41    -0.269487
   88   5.6069e-26   1.8505e-25      117.831      59.5145     -10097.224   2.778e-21   7.574e-21   2.778e-21      1.00       26.25     0.618322
   89   1.2271e-27   3.5945e-27      120.059      60.5822     -10212.316   2.267e-23   7.109e-23   2.267e-23      1.00       22.34     0.341812
   90   2.0528e-25   5.8550e-25      115.503      58.2762     -10335.172   1.881e-21   5.306e-21   1.881e-21     -1.00       20.80     0.179984
   91   3.8518e-26   1.1889e-25      118.507      59.8164     -10447.815   1.542e-23   3.210e-23   1.542e-23     0.985       6.149    -0.201697
   92   1.7707e-26   5.3411e-26      119.144      60.1291     -10563.725   4.998e-22   1.478e-21   4.998e-22      1.00       23.96      1.11318
   93   8.4525e-24   2.2929e-23      108.587      54.7916     -10681.212   7.017e-19   2.029e-18   7.017e-19     -1.00       28.97    -0.342016
   94   3.4315e-26   1.0187e-25      118.562      59.8279     -10786.470   7.594e-22   1.963e-21   7.594e-22      1.00       23.46     0.948467
   95   6.9467e-27   1.7276e-26      118.789      59.8503     -10902.650   5.570e-23   1.570e-22   5.570e-23      1.00       20.46    0.0259399
   96   1.0910e-25   3.7968e-25      116.315      58.7836     -11022.202   4.761e-21   1.125e-20   4.761e-21      1.00       25.34     0.931818
   97   9.4569e-25   2.8362e-24      112.387      56.7445     -11135.910   6.102e-20   2.031e-19   6.102e-20      1.00       26.79     0.690468
   98   1.3906e-24   3.2518e-24      111.894      56.3721     -11245.447   2.158e-20   6.242e-20   2.158e-20     -1.00       22.72    0.0809140
   99   1.0422e-25   2.8897e-25      116.098      58.5634     -11354.463   1.369e-21   3.054e-21   1.369e-21      1.00       22.30      1.31637
  100   9.5463e-26   2.5758e-25      116.010      58.5034     -11468.489   1.517e-21   3.981e-21   1.517e-21      1.00       22.19     0.539782
  101   8.5589e-26   2.2594e-25      115.707      58.3357     -11582.719   6.262e-22   1.608e-21   6.262e-22      1.00       19.83    -0.635218
  102   8.0634e-24   2.1228e-23      108.264      54.6168     -11697.189   4.122e-19   1.036e-18   4.122e-19      1.00       27.30     0.332494
  103   1.4950e-23   3.6799e-23      107.064      53.9839     -11802.570   4.994e-19   1.255e-18   4.994e-19      1.00       25.97     0.684756
  104   4.1272e-24   1.1780e-23      109.078      55.0666     -11906.784   9.567e-20   2.244e-19   9.567e-20      1.00       23.79      1.19281
  105   4.1456e-24   9.9545e-24      109.551      55.2115     -12013.424   1.435e-20   3.980e-20   1.435e-20     -1.00       16.63    -0.751251
  106   1.5887e-25   4.2184e-25      110.911      55.9480     -12120.228   1.879e-21   4.306e-21   1.879e-21      1.00       21.48     0.144011
  107   2.3529e-22   6.3385e-22      101.512      51.2524     -12233.455   1.956e-17   4.971e-17   1.956e-17     -1.00       28.79     0.308611
  108   1.9252e-23   4.8028e-23      106.297      53.6050     -12332.066   3.756e-21   7.199e-21   3.756e-21     0.967       4.764    -0.234405
  109   3.8270e-23   1.0445e-22      104.941      52.9722     -12435.761   1.859e-19   4.490e-19   1.859e-19     -1.00       17.99    -0.163413
  110   1.8062e-22   4.9891e-22      101.942      51.4805     -12537.992   1.434e-17   3.734e-17   1.434e-17      1.00       28.22     0.706382
  111   1.2059e-21   3.0620e-21      98.2958      49.6155     -12637.107   2.380e-16   6.320e-16   2.380e-16      1.00       32.09     0.789360
  112   2.1552e-24   5.5908e-24      109.538      55.2518     -12732.509   3.248e-20   7.911e-20   3.248e-20      1.00       22.42      1.47172
  113   2.4325e-24   5.9788e-24      108.762      54.8316     -12840.544   2.186e-20   5.400e-20   2.186e-20      1.00       20.60     0.149279
  114   3.5455e-22   8.5230e-22      101.280      51.0811     -12948.391   1.447e-17   3.402e-17   1.447e-17      1.00       26.41      1.57564
  115   8.2015e-23   1.8466e-22      103.304      52.0582     -13046.297   4.072e-19   9.339e-19   4.072e-19      1.00       19.11     0.185810
  116   2.5850e-23   6.4524e-23      104.899      52.9048     -13147.195   1.397e-19   2.975e-19   1.397e-19      1.00       18.71    -0.549496
  117   5.9577e-22   1.4433e-21      99.8301      50.3577     -13250.300   1.407e-17   3.366e-17   1.407e-17     -1.00       24.52     0.138276
  118   1.6229e-23   4.2806e-23      104.920      52.9513     -13347.160   3.329e-19   7.703e-19   3.329e-19      1.00       23.06      1.16547
  119   5.6160e-22   1.3454e-21      100.459      50.6671     -13451.140   1.041e-17   2.636e-17   1.041e-17      1.00       23.35     0.494219
  120   6.0782e-23   1.4912e-22      102.656      51.7804     -13548.129   7.731e-19   1.771e-18   7.731e-19      1.00       21.82     0.823449
  121   3.9787e-22   8.2872e-22      100.356      50.5449     -13649.541   2.218e-18   5.195e-18   2.218e-18      1.00       19.87     0.102371
  122   1.0066e-21   2.7270e-21      99.0804      50.0386     -13747.359   1.500e-17   2.971e-17   1.500e-17      1.00       22.03    0.0460336
  123   2.1796e-23   5.8756e-23      103.391      52.1900     -13843.058   2.733e-19   7.080e-19   2.733e-19      1.00       20.96    -0.202872
  124   1.0568e-22   2.4102e-22      102.668      51.7485     -13946.427   2.900e-18   7.507e-18   2.900e-18      1.00       24.42     0.949019
  125   1.2971e-20   3.0325e-20      93.8225      47.3362     -14046.806   3.620e-16   7.959e-16   3.620e-16      1.00       25.84     0.222102
  126   6.4597e-21   1.5184e-20      94.9455      47.9016     -14137.539   1.603e-16   3.572e-16   1.603e-16      1.00       24.87     0.810262
  127   4.4638e-21   1.0084e-20      95.7868      48.3011     -14229.662   4.823e-17   1.092e-16   4.823e-17     -1.00       21.40    0.0961222
  128   3.0239e-22   6.4192e-22      100.035      50.3986     -14322.564   2.920e-18   6.322e-18   2.920e-18      1.00       21.74      1.38551
  129   1.0682e-21   2.4776e-21      98.0212      49.4327     -14420.912   8.099e-18   1.639e-17   8.099e-18      1.00       20.70     0.572367
  130   7.8267e-22   1.8525e-21      97.7961      49.3278     -14516.647   7.405e-18   1.632e-17   7.405e-18      1.00       20.63    -0.290548
  131   3.9847e-21   1.1483e-20      95.7120      48.3847     -14612.984   1.002e-17   2.212e-17   1.002e-17      1.00       13.90    -0.239857
  132   7.0414e-21   1.7846e-20      95.1410      48.0361     -14705.869   9.303e-18   2.750e-17   9.303e-18    -0.998       11.36     0.362884
  133   1.3433e-21   2.6390e-21      97.9335      49.3044     -14797.744   5.768e-18   1.406e-17   5.768e-18      1.00       18.81  -0.00986942
  134   6.2911e-22   1.2974e-21      98.9426      49.8317     -14893.187   1.185e-18   2.202e-18   1.185e-18      1.00       16.26    -0.568994
  135   1.0884e-21   2.3012e-21      97.8882      49.3212     -14990.099   1.236e-17   2.416e-17   1.236e-17      1.00       22.31      1.07037
  136   1.0487e-20   2.4399e-20      93.6206      47.2337     -15085.889   1.152e-16   2.330e-16   1.152e-16      1.00       21.93     0.543599
  137   1.2328e-19   2.3583e-19      89.7585      45.2023     -15177.053   8.603e-16   1.926e-15   8.603e-16     -1.00       20.52    -0.906989
  138   8.2342e-21   1.8899e-20      93.2503      47.0430     -15263.484   6.550e-17   1.201e-16   6.550e-17      1.00       21.20     0.754119
  139   4.5119e-19   9.2491e-19      87.2111      43.9642     -15355.146   1.461e-14   3.196e-14   1.461e-14      1.00       26.05    -0.185512
  140   4.8426e-21   1.0985e-20      93.4416      47.1331     -15438.913   3.738e-17   7.356e-17   3.738e-17      1.00       20.77     0.559953
  141   1.7473e-20   3.3817e-20      92.3261      46.4918     -15531.647   8.337e-17   1.799e-16   8.337e-17      1.00       19.13    -0.544821
  142   1.6341e-19   3.5983e-19      88.4628      44.6252     -15621.974   1.341e-16   2.410e-16   1.341e-16     0.999       12.20    -0.513955
  143   1.1950e-16   2.3607e-16      76.3385      38.5106     -15707.701   9.841e-12   2.070e-11   9.841e-12     -1.00       30.07     0.925386
  144   2.2347e-19   4.8338e-19      87.3014      44.0369     -15780.346   8.729e-16   1.651e-15   8.729e-16      1.00       18.90     0.189519
  145   3.0696e-20   6.7798e-20      90.4596      45.6234     -15865.465   1.847e-16   3.773e-16   1.847e-16      1.00       19.06    -0.755426
  146   9.7780e-20   2.2408e-19      89.1896      45.0107     -15954.533   2.244e-15   4.768e-15   2.244e-15      1.00       24.06     0.633716
  147   1.2192e-17   2.4482e-17      80.2240      40.4605     -16041.247   7.426e-13   1.642e-12   7.426e-13      1.00       28.60   -0.0481226
  148   1.5141e-18   3.1728e-18      84.0398      42.3909     -16118.441   1.819e-14   3.517e-14   1.819e-14      1.00       23.26     0.619470
  149   6.5805e-18   1.3619e-17      81.2631      40.9960     -16199.765   1.768e-13   3.530e-13   1.768e-13      1.00       25.71     0.488480
  150   1.1762e-18   2.5329e-18      84.4225      42.5964     -16278.162   2.101e-14   4.173e-14   2.101e-14      1.00       23.76     0.909474
  151   1.3971e-17   2.9945e-17      79.7765      40.2697     -16359.963   6.129e-13   1.272e-12   6.129e-13     -1.00       27.43     0.173611
  152   7.3888e-20   1.2148e-19      86.1488      43.3324     -16436.820   2.431e-16   4.989e-16   2.431e-16      1.00       19.34     0.698589
  153   2.6406e-17   5.4905e-17      79.1344      39.9343     -16524.427   2.269e-14   3.641e-14   2.269e-14    -0.999       13.08     0.981511
  154   5.9834e-18   1.2496e-17      81.3839      41.0613     -16600.040   5.022e-14   9.933e-14   5.022e-14      1.00       21.02     0.682110
  155   3.0306e-18   7.0936e-18      82.7569      41.8045     -16678.619   4.982e-14   9.977e-14   4.982e-14      1.00       22.65     0.565037
  156   1.7610e-19   3.9853e-19      86.9210      43.8701     -16758.444   2.991e-15   6.740e-15   2.991e-15      1.00       22.18     0.374355
  157   1.8799e-19   3.6507e-19      87.3199      43.9900     -16843.994   8.060e-16   1.757e-15   8.060e-16      1.00       18.71    -0.685008
  158   5.0803e-17   1.0784e-16      77.5471      39.1503     -16929.566   1.231e-12   2.299e-12   1.231e-12     -1.00       25.71     0.289188
  159   1.0521e-18   1.7264e-18      84.2822      42.3871     -17003.850   1.806e-15   3.634e-15   1.806e-15      1.00       16.24    -0.697507
  160   5.9459e-15   9.0801e-15      68.1446      34.2845     -17086.147   8.155e-11   1.283e-10   8.155e-11      1.00       27.48     0.366125
  161   2.9684e-16   5.5879e-16      74.4528      37.5430     -17151.235   1.775e-13   2.477e-13   1.775e-13     0.999       12.36     0.343067
  162   4.0000e-18   8.0696e-18      79.7848      40.2415     -17222.110   1.456e-14   2.597e-14   1.456e-14      1.00       18.16    -0.360369
  163   1.1807e-16   2.1815e-16      75.6103      38.1130     -17301.528   1.476e-12   2.856e-12   1.476e-12      1.00       23.99     0.603224
  164   8.4808e-17   1.5275e-16      75.5321      38.0624     -17374.265   5.085e-13   8.948e-13   5.085e-13      1.00       21.19      1.03991
