zst: x = 50 (prime powers <= 50), N = 500, prec = 2100 bits, L = [3.91202300542815 +/- 3.95e-15]
matrix build: 4.29s
minimal even eigenvalue eps_N = [2.161475058e-258 +/- 2.62e-268]  (Rump-certified, 131.45s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (93.12s)
xi_0 = [1.388132192e+127 +/- 4.89e+117], xi_1 = [-1.309002223e+127 +/- 6.40e+116], xi_N = [0.00030039 +/- 1.08e-9]
positive secular roots: 500 certified of N = 500, 0 unresolved  ->  spectrum COMPLETE  (223.47s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
257   481.8303393762865613666813762851226406773   2.50e-29
258   482.8347827909823973065569966764965206481   1.75e-28
259   483.8514272124825375601882210849376830311   2.70e-28
260   485.5391481293560069300254236587515804435   6.69e-28
261   486.5287182616512443523675262709008391436   9.59e-28
262   488.3805670900174485271114306663575244087   1.55e-27
263   489.6617615779561315127809041782077785510   3.23e-27
264   491.3988215936630065692133310166223455108   8.08e-27
265   493.3144415817853009363606043011037948880   2.58e-25
266   493.9579978053694649095830918679012204006   5.81e-25
267   495.3588288221312774968341332795644914640   5.42e-25
268   496.4296962157591034839189132318865966318   4.16e-25
269   498.5807824296865420166750834412072315870   5.29e-25
270   500.3090849416904955393093959388897500921   5.21e-24
271   501.6044469651454776633326010439857455233   5.53e-23
272   502.2762703271182331753995689194661629613   6.16e-23
273   504.4997733134277371837913942768155327665   1.32e-22
274   505.4152317422444420295525431284830149667   3.77e-22
275   506.4641527095235312215262945755435082277   2.20e-22
276   508.8007003364678208094700584479985270039   3.86e-22
277   510.2642279436728344207824951384433925899   2.98e-21
278   511.5622897003745954604716363531923203610   1.67e-20
279   512.6231445314074186671411948795771903093   3.99e-20
280   513.6689855554736834362737886434342900562   2.96e-20
281   515.4350571672993772496954178780601908396   1.85e-20
282   517.5896685724674253416952403498973098718   3.37e-19
283   518.2342231475501435744612069128832056311   6.03e-19
284   520.1063104117232559039934652912371094821   7.97e-19
285   521.5251934494920409726851312849873326876   4.95e-18
286   522.4566961777302104383030950713661313885   8.16e-18
287   523.9605308920158404958750052321647723590   8.87e-18
288   525.0773856872796221875155550752966701715   6.92e-18
289   527.9036416012723454905555052540601372865   2.61e-16
290   528.4062138522926595514137325997267759337   6.10e-16
291   529.8062263187069013531763896217762684906   5.55e-16
292   530.8669178839610901955741328535043835073   5.51e-16
293   532.6881830282937313473765321792902934949   8.42e-16
294   533.7796307537687337612700121688783145776   1.20e-15
295   535.6643140758732268721852804205195916449   2.26e-15
296   537.0697590831223358601076513663822027567   8.27e-15
297   538.4285261762479844050702909708599426801   2.16e-14
298   540.2131663762287612252600389391294578139   6.28e-13
299   540.6313902472959988747005402541974721409   8.82e-13
300   541.8474371212013851376129267966210655113   1.04e-13
301   544.3238901010054111304428383680607065683   1.48e-13
302   545.6368332489356153798456793488955117259   7.97e-13
303   547.0109120581262200267375958314874826934   3.93e-12
304   547.9316133644949333743544358439571277226   5.60e-12
305   549.4975675626666024589706440464625543918   5.22e-12
