zst: x = 60 (prime powers <= 60), N = 600, prec = 2500 bits, L = [4.09434456222210 +/- 6.85e-16]
matrix build: 7.37s
minimal even eigenvalue eps_N = [1.540352972e-312 +/- 2.56e-322]  (Rump-certified, 156.54s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (121.00s)
xi_0 = [1.437772675e+154 +/- 1.61e+144], xi_1 = [-1.362558271e+154 +/- 3.48e+144], xi_N = [0.0012120 +/- 4.45e-8]
positive secular roots: 358 certified of N = 600, 242 unresolved  ->  spectrum incomplete  (5406.37s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
277   510.2642279436728344207795176547349251302   4.18e-57
278   511.5622897003745954604549044865991255703   3.09e-56
279   512.6231445314074186671012549434810340696   9.21e-56
280   513.6689855554736834362441464179261088280   8.54e-56
281   515.4350571672993772496768936729573107082   7.78e-56
282   517.5896685724674253413579652869405488328   2.25e-54
283   518.2342231475501435738582743734798206691   4.64e-54
284   520.1063104117232559031961461342618580756   9.23e-54
285   521.5251934494920409677323981631941412038   7.83e-53
286   522.4566961777302104301444133225125081376   1.59e-52
287   523.9605308920158404870075094809721025340   2.41e-52
288   525.0773856872796221805912176301380448888   2.42e-52
289   527.9036416012723452296172680711541204259   1.73e-50
290   528.4062138522926589416088966473836426627   4.53e-50
291   529.8062263187069007981639833015648293570   5.68e-50
292   530.8669178839610896443874345148560701761   7.21e-50
293   532.6881830282937305051264455691435684763   1.68e-49
294   533.7796307537687325654825460231354727219   3.09e-49
295   535.6643140758732246170461231822747146814   9.08e-49
296   537.0697590831223275883897377535822680387   4.66e-48
297   538.4285261762479628435009552397815667706   1.68e-47
298   540.2131663762281333836456689899633509530   7.54e-46
299   540.6313902472951173601280775991759340270   1.17e-45
300   541.8474371212012815471191135089067366934   1.86e-46
301   544.3238901010052629031213087557608362045   4.89e-46
302   545.6368332489348182548554397944220515668   3.65e-45
303   547.0109120581222924636558817931250716643   2.54e-44
304   547.9316133644893383104511594261455575254   4.57e-44
305   549.4975675626613784599847338797735699636   6.36e-44
306   550.9700100394838890456572340569938864736   2.24e-43
307   552.0495722005648927925767025455695696804   3.37e-43
308   553.7649721191588146171497825920935557112   4.52e-43
309   555.7920205616825084165732214853551893267   8.12e-42
310   556.8994764068553512619642186561463744726   1.00e-40
311   557.5646591720585284085239898743312777888   1.23e-40
312   559.3162370286821637609351422402057889716   1.23e-40
313   560.2408074972956682417932763588605198266   1.29e-40
314   562.5592076160458511081379166953245362396   3.35e-40
315   564.1608791107861178138795335004065286640   2.43e-38
316   564.5060559381498351222459689389768405769   2.99e-38
317   566.6987876828079562415122806672407263185   2.27e-38
318   567.7317579011769374503347304935750646419   8.30e-38
319   568.9239551796293684967534874168661517307   1.35e-37
320   570.0511147824635920385270166013278688406   9.82e-38
321   572.4199841324527640452769271073468621499   4.14e-37
322   573.6146105267581299872460321096433009398   2.53e-36
323   575.0938860144948856074571722821982078802   2.76e-35
324   575.8072471409287807094293328944304439020   4.90e-35
325   577.0390034720982112166370896877391893178   2.10e-35
326   579.0988346720366074312843643289211002030   5.50e-35
327   580.1369593623846286727162763480332001295   1.20e-34
328   581.9465762659016255515061145447239571211   3.89e-34
329   583.2360882191672782619605736494856637885   1.69e-33
330   584.5617059034655283669458933934544722841   5.43e-33
331   585.9845632049883005741872589855890238289   3.30e-32
332   586.7427718912501556447718450873452641838   4.33e-32
