zst: x = 30 (prime powers <= 30), N = 450, prec = 1300 bits, L = [3.40119738166216 +/- 4.63e-15]
matrix build: 1.57s
minimal even eigenvalue eps_N = [2.125483712e-150 +/- 1.92e-160]  (Rump-certified, 34.67s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (23.58s)
xi_0 = [1.983370450e+73 +/- 1.69e+63], xi_1 = [-1.836782926e+73 +/- 1.74e+62], xi_N = [2.3746e-5 +/- 2.89e-10]
positive secular roots: 450 certified of N = 450, 0 unresolved  ->  spectrum COMPLETE  (657.23s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
214   422.2253135680611124524383598761763866827   3.84
215   423.9676056683178809531492852874021822544   4.11
216   425.3263556611254555497335188424192105477   4.68
217   427.5258161501904017575277968645475656577   5.45
218   428.8146798881618427594398652353373051294   5.10
219   430.6836385559944849568114430443936957425   5.61
220   432.0076117705217595548631906164136065111   4.80
221   433.9078760503877393213108324008696768515   5.78
222   436.2485078264943057186826418774254165232   5.92
223   437.9355649932394997151735380607188796138   6.63
224   439.5192027891119449806905087130922601273   7.38
225   441.2963511339251932637786082702499126814   7.41
226   442.6779397054638322377415401502177782500   6.52
227   444.2736830412040575736909703436405525762   6.69
228   446.9981941006417786470600578441869468861   8.38
229   448.1686797736600197590111886941395217731   8.25
230   449.6884720661662744021273083615511895415   8.01
231   451.2807961590985517766808659355485246551   8.38
232   453.8972640686358930535587755387506368595   9.58
233   454.9688898509953041311425958401142488207   8.11
234   456.4724366744914408789559340792514348716   9.03
235   458.0990710576845494650855272635632229767   8.95
236   459.8487405481427977113868540789619396414   9.72
237   462.0256767913343142995135673758294678918   10.6
238   464.0499337071563870747890523417528199125   10.1
239   465.8319719833315038501150555906771455368   10.9
240   467.1643441807146177831491603817851677176   10.8
241   469.3635972412404540926461863728591713221   11.5
242   470.6619704267803054250242911844335426249   11.1
243   472.8133302110494024711261810041099140387   12.7
244   474.0023005408830692494753647925058595010   11.9
245   475.9194235405028980522264552340416335559   11.9
246   477.4582750146351858649459006399719639035   11.8
247   478.7985264701513246988797640372018569779   12.2
248   481.8620391499708210026955857388420774151   14.4
249   483.1751253761809599124592665918167495550   13.6
250   484.6472492744577207373367824184194001816   13.9
251   486.1925786796710707723935855717011870557   13.4
252   488.2340887655991806191306712451658957006   14.4
253   489.6236921740753755223980192130090358331   14.0
254   491.4475289394084133327946753932452614719   14.7
255   493.5780150867870618556987576627052035899   15.5
256   495.2060702383710474256519685246429614527   16.3
257   496.4394823582738087802524046691012238932   14.6
258   498.6506265134842819211861218077410294668   15.8
259   500.5095010178739117661613604515462135811   16.7
260   502.0458178526083580925815400542882907591   16.5
261   504.5754390715780207750494427102221182643   18.0
262   505.9619396330436109424569845552555026253   17.6
263   507.5696881991577258775990344053258530490   17.9
264   509.2322928801667267537263010821337151113   17.8
265   510.9917800979917025949478503496480812231   17.7
266   512.6423303059288453491783585374503501682   18.7
267   514.0833143738198370951093577070912942381   18.7
268   515.6726721503023187149503739204147981719   19.2
269   517.9195799693706934033492398127412180411   19.3
270   520.0435348950824687254506196130502567999   19.7
271   521.7700037472244648914212011239767358315   20.2
272   523.3477125321446784280013333577469246062   21.1
273   524.8633927398973298404874262627408835160   20.4
274   527.6683283156275199961562152471555822651   22.3
275   528.5416664655431741855654341987220186423   22.1
276   530.3689018360729023533762380069303750317   21.6
277   532.2941632601062214168860083182005920375   22.0
278   533.6563492525720900609439035758119795127   22.1
279   535.7879471108263257742915296555451651853   23.2
280   537.4800152712367244715866554086060069705   23.8
281   539.0478760415493029187895074168924654387   23.6
282   540.6486242868051474237926272971872126663   23.1
283   542.1117485021657091959321326464202887420   23.9
284   544.5716366296346567452544597590468898484   24.5
285   546.2477397710240252971896086888914085647   24.7
286   547.8017986722896417241385352681219006543   25.3
287   549.7377566261109727773930089054836754534   25.8
288   551.5494792762419243354497214792489590692   26.5
289   553.5022707263979293646502376128093256057   25.6
290   555.4936717221824722928297189699459538767   27.1
291   556.9890034916999539208817202770424201090   27.2
292   558.5738678090555983217052632747931823094   27.7
293   560.0126661493182288619486208975460368824   27.3
294   562.5197486907448279638035581258380634126   28.7
295   564.3103297682680906412066398759025061051   28.6
296   566.6025564524555325646182685990755738092   29.5
297   567.8905165318359857317622438611782193676   29.5
298   569.5544569272315763837010448091710462926   29.3
299   571.3708076196549971208170986170864967736   30.7
300   573.0212227547740037329560532809863326987   31.2
301   574.9661948399621176516003201823191840350   30.6
302   576.4458296931499727983308158921534490633   30.8
303   578.2919981152400326020302258173646808752   31.3
304   579.8226602355599771177327926965693759655   31.9
305   581.9549808802902943285117872096157920491   32.5
306   583.5754278586164137913880938457274825938   32.6
307   585.2381367390122706431573644931569648790   33.2
308   586.6693767971215280047368158435891490481   32.9
309   588.2517633781711058181446728259085158701   32.5
310   590.8748146107609262488822272047861550018   34.0
311   592.3457101937624760434318868520611283273   34.8
312   594.0632505423359112166161169374788828278   34.7
313   596.0598223088847757964921849724538834499   35.8
314   598.3420833094109305659976360019772578471   35.8
315   599.5235625892804275665588010846017413332   35.4
316   601.8330913507095842986490674218794276584   37.3
317   603.3658420049404682611117151565798357263   36.7
318   604.7595961182036502357093951194937921850   37.0
319   606.5744827279195884064349580849048483778   37.7
320   608.7903543446766219305313775561605991962   38.7
321   610.5514424762189800620069523681149512247   38.1
322   611.8673031934552307758420965281189054220   38.3
323   613.9503205565141094942330001873942751057   38.9
324   615.3803671530894643291066463211305354986   39.6
325   618.1998126549518421538371858550243722923   41.2
326   619.6839752538416183929093520359193047977   40.6
327   621.4879534335988468367864563379745062853   41.4
328   622.6511925452065778705057653651445768509   40.7
329   624.5657942804188034287697976196117349843   41.3
330   626.4835509006280682434567187336025019423   41.9
331   628.0889459221607697701336790290612224523   42.1
332   630.5637215395526815477035393337563782600   43.8
333   632.0907608979393458947200822285896247136   44.0
334   633.5495796358436332507706710189482122393   42.9
335   635.5998762070774110701407291129431638309   43.9
336   637.7038107728836769674365868606524518436   45.1
337   639.1503632421810117088857908939606385696   45.2
338   641.1350691699245105416475640799695815127   45.4
339   642.8715730230397024289303887976287590946   46.5
340   644.8117391051104805028816342626826308589   46.3
341   646.4447063786579344119133561357602927704   46.9
342   648.2503104628170200817696549323899539440   46.6
343   650.1244977293104366897253370064758937093   47.5
344   651.0010106433045094635931740915689582814   47.4
345   653.9161198281363021442874869527423846004   49.3
346   655.6754153884045510959905330568109062842   49.3
347   657.3628434905637625255921827596328410361   48.9
348   659.0917711514964914928720434880002346374   49.7
349   660.6206607438088060267145163015166236258   49.8
350   662.4517817939862162567625767843194874127   50.7
351   664.6420036725072112200884142280179019988   51.0
352   666.4791869692609031067674105970895783794   51.8
353   668.0992866616459407304894819128280323992   52.6
354   669.8547628987049344031305109183376800583   51.7
355   672.0112316087917060732521451402875176441   52.8
356   673.2805741331019974774787404007570897625   53.0
357   675.1103377783567902555081414629072098913   53.4
358   677.0092713386629352428325760807988284676   54.6
359   678.3690122516955238279580015737167326721   54.1
360   680.0542040984401681661102452362979100560   54.0
361   682.2920937076584876951757268514018704839   55.0
362   684.2492842806522504174993497860712528888   55.9
363   685.8751325407174470620112122371104977486   55.4
364   687.9535414066316132315274617126723653403   57.1
365   689.7170305294023541851252531568856023472   57.5
366   691.2644197161102463980456117715081586759   57.7
367   692.9869293274022882033598640609989079542   57.5
368   694.8631684414264320276750431422876925892   57.5
369   696.4099472447895242558693397493005596924   58.5
370   699.1501779439386305151198606260059178185   60.2
371   700.6417473677632838442881125864843953422   59.9
372   702.0994474342522657177893120890808123249   60.2
373   704.2794334683252748906256657119180809717   61.0
374   705.8698090006994211128853320335481200131   60.9
375   708.1826266442881233279667725960939275522   61.8
376   709.3856864793676768430258670465055867054   61.6
377   711.5767662803626904679298210287809444421   62.8
378   713.1657845796399737726695156310938180860   63.0
379   714.8522717018604715130439146444076089881   64.2
380   716.7403372208979306948374855901759344644   63.1
381   718.5849168117992103681293451849365370773   64.3
382   720.1092886460518682724727611167922978227   64.4
383   721.9666635501021119768041668966061489807   65.0
384   724.0888877146564817843511187635242438800   65.9
385   725.7784087016646976659419630410685679450   66.1
386   727.5497771540291367256396922023065470430   66.8
387   728.9305274491814250359908260833328058785   66.6
388   730.9718528001156490750006937874084224121   66.7
389   732.7513173999693132670063471629074302052   67.4
390   735.0264908885737423387758795801663761104   68.5
391   736.6323069273041688356962437492599729118   69.5
392   738.4551917154915609262547508385171298651   69.5
393   740.1915365208323125380350209453942262601   69.9
394   741.7209774271868038958222429418720554741   69.3
395   744.0347649652199227467488036706083356116   71.0
396   745.8135950922176746320872078329792969027   71.5
397   747.5724827768579862898931623797987711019   71.4
398   748.6304635011039347713184632965268160699   71.4
399   750.8606281237564071650310999124828435219   73.1
400   753.0670453436733205697464066104889664462   73.3
401   754.7553194063109111007707670597795652189   72.9
402   756.4942925213242840090265166501499116712   73.9
403   758.4019443218007355190970782859886914254   74.4
404   760.1221791048073336107491103897186008635   75.1
405   762.6837897362965880529328028852841195583   76.5
406   763.9696213096555931246975031225535631017   76.0
407   766.0736515703394794265144174435968032170   76.7
408   767.6446630180156256026096296608683235824   77.2
409   769.3900050722957277935350280006136165622   76.9
410   771.0491087564660769632752725858644287323   77.9
411   773.2268737652870980771067675713075758484   78.7
412   774.9089771654615128047264729275641351251   79.2
413   776.6072747982962774505319069770628064931   80.0
414   778.4502606665673931655855168775675278820   79.3
415   780.0542014997705996545377905260428180201   79.8
416   782.2686801669648362614998161421319838467   81.0
417   784.0928258773154393981806548944408575248   81.9
418   785.8665014760612002301468326953496576909   81.8
419   787.2689358426414431334216721478506177227   82.1
420   790.0852342741221488548404144339171889822   83.9
421   791.1994247108602979743304413665859629946   82.9
422   792.8353069554600284976176106254028472562   83.6
423   794.9350599745742898211454189355945394558   83.8
424   796.8024583413170304024246454063574280576   84.9
425   798.5966016245918190359967206292681617895   85.8
426   799.9778308492028725984645680318246315575   85.9
427   802.1546557498590340170034933441949284620   86.0
428   803.6487247986606232867552947606108128984   86.2
429   805.4977473379025719375305536118661868561   86.8
430   807.9357142872521178634863933751003994329   88.2
431   809.3664432971771053580215826855304878627   88.0
432   810.9609633238381630965921471635974856955   88.7
433   812.9217736950138668153771355066045990138   89.1
434   814.5668095373670843752244366347418208040   90.0
435   816.7157860040769562239251057148403596510   89.7
436   818.6824936524501868142020966498250640311   90.3
437   820.4464747406934713958227321562333926034   91.7
438   821.9254344125475839878631533099208739044   91.5
439   824.4638835559973219517765331341769326859   93.0
440   826.2316853250190940685174703156173938376   93.4
441   827.8132847356326737546391874892579549753   93.0
442   829.3823266318646664665287426417137397590   93.6
443   831.3199275414641442828551607144916970278   94.3
444   886.3396632257195555947430280296592064490   1.48e+2
445   1028.225989226769013541799612418650736980   2.88e+2
446   1247.069068965199627012829002016336958307   5.06e+2
447   1598.161536195504444290790678052850991504   8.56e+2
448   2238.205641203747997946220446162130522046   1.49e+3
449   3758.976658978326289824320510457025683543   3.01e+3
450   11878.32031977980139131432089009106802092   1.11e+4

total 719.39s
wall 719.560759168 s  maxrss 2012 KB
